Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight
13500,23,46986,Diesel,90,1,0,2000,3,1165
13750,23,72937,Diesel,90,1,0,2000,3,1165
13950,24,41711,Diesel,90,1,0,2000,3,1165
14950,26,48000,Diesel,90,0,0,2000,3,1165
13750,30,38500,Diesel,90,0,0,2000,3,1170
12950,32,61000,Diesel,90,0,0,2000,3,1170
16900,27,94612,Diesel,90,1,0,2000,3,1245
18600,30,75889,Diesel,90,1,0,2000,3,1245
21500,27,19700,Petrol,192,0,0,1800,3,1185
12950,23,71138,Diesel,69,0,0,1900,3,1105
20950,25,31461,Petrol,192,0,0,1800,3,1185
19950,22,43610,Petrol,192,0,0,1800,3,1185
19600,25,32189,Petrol,192,0,0,1800,3,1185
21500,31,23000,Petrol,192,1,0,1800,3,1185
22500,32,34131,Petrol,192,1,0,1800,3,1185
22000,28,18739,Petrol,192,0,0,1800,3,1185
22750,30,34000,Petrol,192,1,0,1800,3,1185
17950,24,21716,Petrol,110,1,0,1600,3,1105
16750,24,25563,Petrol,110,0,0,1600,3,1065
16950,30,64359,Petrol,110,1,0,1600,3,1105
15950,30,67660,Petrol,110,1,0,1600,3,1105
16950,29,43905,Petrol,110,0,1,1600,3,1170
15950,28,56349,Petrol,110,1,0,1600,3,1120
16950,28,32220,Petrol,110,1,0,1600,3,1120
16250,29,25813,Petrol,110,1,0,1600,3,1120
15950,25,28450,Petrol,110,1,0,1600,3,1120
17495,27,34545,Petrol,110,1,0,1600,3,1120
15750,29,41415,Petrol,110,1,0,1600,3,1120
16950,28,44142,Petrol,110,0,0,1600,3,1120
17950,30,11090,Petrol,110,1,0,1600,3,1120
12950,29,9750,Petrol,97,1,0,1400,3,1100
15750,22,35199,Petrol,97,1,0,1400,3,1100
15950,27,29510,Petrol,97,1,0,1400,3,1100
14950,26,32692,Petrol,97,1,0,1400,3,1100
15500,22,41000,Petrol,97,1,0,1400,3,1100
15750,26,43000,Petrol,97,0,0,1400,3,1100
15950,25,25000,Petrol,97,0,0,1400,3,1100
14950,23,10000,Petrol,97,1,0,1400,3,1100
15750,32,25329,Petrol,97,1,0,1400,3,1100
14750,27,27500,Petrol,97,0,0,1400,3,1100
13950,22,49059,Petrol,97,0,0,1400,3,1100
16750,27,44068,Petrol,97,1,0,1400,3,1100
13950,22,46961,Petrol,97,0,0,1400,3,1100
16950,27,110404,Diesel,90,0,0,2000,5,1255
16950,22,100250,Diesel,90,0,0,2000,5,1255
19000,23,84000,Diesel,90,0,0,2000,5,1270
17950,27,79375,Diesel,90,1,0,2000,5,1255
15800,22,75048,Petrol,97,1,0,1400,5,1110
17950,22,72215,Diesel,90,1,0,2000,5,1255
21950,31,64982,Petrol,192,1,0,1800,5,1195
17950,22,62636,Diesel,90,1,0,2000,5,1255
15750,30,57086,Petrol,97,1,0,1400,5,1110
20500,26,56000,Petrol,110,1,1,1600,5,1180
21950,27,49866,Petrol,192,1,0,1800,5,1195
15500,25,49163,Petrol,110,0,1,1600,5,1165
13250,32,45725,Petrol,110,1,0,1600,5,1075
15250,28,43210,Petrol,97,0,0,1400,5,1110
15250,26,43000,Petrol,97,0,0,1400,5,1110
18950,23,39704,Petrol,110,1,1,1600,5,1180
15999,30,38950,Petrol,110,1,0,1600,5,1130
14950,22,37400,Petrol,97,1,0,1400,5,1110
16500,27,37177,Petrol,110,0,0,1600,5,1130
18750,31,36544,Petrol,110,1,0,1600,5,1130
17950,30,33511,Petrol,110,1,0,1600,5,1130
17950,27,32809,Petrol,97,1,0,1400,5,1110
16950,26,32181,Petrol,110,1,0,1600,5,1075
18950,28,30993,Petrol,110,1,0,1600,5,1130
14950,22,30400,Petrol,97,1,0,1400,5,1110
22250,22,30000,Diesel,110,1,0,2000,5,1275
15950,25,29719,Petrol,97,1,0,1400,5,1110
15950,28,29206,Petrol,97,1,0,1400,5,1110
12995,32,29198,Petrol,97,1,0,1400,5,1060
18950,28,28817,Petrol,110,1,0,1598,5,1130
15750,23,28227,Petrol,97,1,0,1400,5,1110
19950,28,28000,Petrol,110,0,0,1600,5,1130
16950,23,28000,Petrol,110,1,0,1600,5,1115
18750,31,25266,Petrol,110,1,0,1600,5,1130
18450,27,23489,Petrol,110,0,0,1600,5,1115
16895,29,22575,Petrol,110,1,0,1600,5,1115
14900,30,22000,Petrol,97,1,0,1400,5,1110
18950,25,20019,Petrol,110,1,1,1600,5,1180
17250,29,20000,Petrol,110,1,0,1600,5,1115
15450,25,17003,Petrol,97,1,0,1400,5,1110
